question,answer,image_id
what is behind the sofa,blinds,image477
what is the object close to the wall right of the shelf,window,image979
what is on the right side of the chair,ornamental_plant,image404
what is beneath the blinds,air_conditioner,image77
what are the objects on the shelves,books,image113
how many billing counters are there,6,image114
what is the object on the floor in front of the wall,sofa,image1082
what is on the right side of the toilet,tissue_roll,image648
what is on the pillow,bag,image71
what is on the left side of the rack,chair,image460
what are the objects on the shelves,books,image105
what are the sheets pinned on the poster board,newspapers,image21
what is on the wall,framed_certificate,image370
what is the object close to the wall,picture,image1026
what is on the right most side on the drawer table,carton,image543
what is the object attached close to the ceiling,projector,image19
what is the colour of the chair,pink,image590
what is on the left side of the key,glass,image786
what is the largest dark brown object in this picture,dresser,image526
how many doors are open,2,image436
what is under the white cabinet on the right side of the oven and and on the left side of the fridge,sink,image2
what are the objects on the bed,"blanket, pillow",image927
how many monitors are there in the table,2,image528
what color are the drawer knobs,white,image564
what is the largest object,sofa,image50
what is the largest object,table,image1395
what is the object on the floor in the corner,garbage_bin,image730
what is on the left side of the door,window,image794
what is on the right side of the table,washing_machine,image405
what is the object on the floor in front of the wall,sofa,image1026
how many shelves are visible,4,image799
what is on the left side of the carton,door,image618
what color is the swivel chair next to the kitchen roll,red,image40
what are the red objects,ladder,image7
what is behind the table,stand,image607
what is the object close to wall,towel_rod,image690
what is the colour of the bathtub,white,image668
what is on the right side of the tap,bowl,image853
what color is the towel,white,image727
what is on the cabinet in front of the electrical kettle,vegetable_peeler,image140
what is the object stuck close to the wall,wall_decoration,image106
what is on the right side of the tap,"soap, soap_box",image795
what is the largest object,ladder,image18
how many black cameras are hanging next to the wall,3,image6
what is the object on the floor close to the room divider,can,image492
what color are the cabinets,brown,image138
what is on the right side of the lamp,monitor,image93
how many roll of paper towels are there,1,image759
what is on the holder beneath the sink,towel,image663
how many chairs are there surrounding the table,6,image19
how many chairs are there,1,image1053
what is the object on the table if front of the chair,telephone,image40
what is the object on the side rack,photo_album,image102
what are the black objects on the tv stand,"television, dvd_player",image259
